product,quantity,rating,number of ratings,price
Bgr 34 Tablet,bottle of 100 tablets,4.2,1082,546.0
1mg Karela Pure Natural Extract 500mg Capsule,bottle of 60 capsules,4.2,205,198.0
Dr. Reckeweg R40 Diabetes Drop Homeopathic Medicine,bottle of 22 ml Drop,4.7,81,243.5
SBL Syzygium Jambolanum Mother Tincture Q,bottle of 30 ml Mother Tincture,4.6,89,96.0
Dhootapapeshwar Madhumeha Kusumakar Rasa,box of 30 tablets,4.3,126,660.0
Sugar Free Green Stevia Pellets,bottle of 300 pellets,4.3,524,184.9
SBL Dibonil Drop,bottle of 30 ml Drop,4.6,80,108.45
IME 9 Tablet,bottle of 60 tablets,4.1,902,267.0
Tata 1mg Ceylon Cinnamon 10:1 Ratio Extract for Blood Sugar Management 200mg Capsule,bottle of 30 capsules,4.4,55,99.0
So Sweet Stevia Sugar Free Tablet,bottle of 500 tablets,4.0,160,374.0
Dabur GlycoDab Tablet,bottle of 60 tablets,4.2,90,290.0
Himalaya Diabecon Tablet,bottle of 60 tablets,4.1,92,124.0
SBL Gymnema Sylvestre Mother Tincture Q,bottle of 30 ml Mother Tincture,4.6,31,97.0
Dr. Reckeweg Syzygium Jamb Mother Tincture Q,bottle of 20 ml Mother Tincture,4.7,27,228.05
Baidyanath Mahayograj Guggulu Tablet,strip of 40 tablets,4.1,77,196.0
SBL Diaboherb Capsule,box of 100 capsules,0.0,0,362.0
ADEL 18 Glucorect Drop,bottle of 20 ml Drop,3.7,18,265.1
Dabur Vasant Kusumakar Ras with Gold & Pearl Tablet,bottle of 100 tablets,4.1,108,4680.0
SBL Cephalandra Indica Mother Tincture Q,bottle of 30 ml Mother Tincture,4.9,23,97.0
Baidyanath Laxmivilas Ras Tablet,bottle of 40 tablets,4.3,95,120.0
Bjain Syzygium Jambolanum Mother Tincture Q,bottle of 100 ml Mother Tincture,4.7,31,179.55
Dr Willmar Schwabe India Syzygium Jambolanum Trituration Tablet 1X,bottle of 20 gm Trituration Tablet,4.7,20,155.8
Sri Sri Tattva Nishamalaki Tablet,bottle of 60 tablets,4.5,83,125.0
Berbeshine Tablet,strip of 10 tablets,4.1,35,230.98
SBL Dibonil Tablet,bottle of 25 gm Tablet,4.4,22,135.2
SBL Abroma Augusta Mother Tincture Q,bottle of 30 ml Mother Tincture,4.9,17,97.0
Dhootapapeshwar Shilapravang (with Mouktik) Tablet,bottle of 100 tablets,4.1,40,386.0
Dabur Madhu Rakshak,bottle of 250 gm Powder,4.2,88,319.0
Bakson's Diab Aid Drop,bottle of 30 ml Drop,4.7,25,155.0
SBL Bio-Combination 7 Tablet,bottle of 25 gm Biocombination Tablet,4.6,8,91.85
Baidyanath Madhumehari Controls Blood Glucose Levels Naturally,bottle of 200 gm Powder,4.3,93,295.0
Dr. Reckeweg Diabetic Care Combo (R40 + Syzygium Jamb Mother Tincture),packet of 1 Kit,4.0,5,456.0
ADEL Acid Phos Mother Tincture Q,bottle of 20 ml Mother Tincture,4.3,8,243.5
Dr Willmar Schwabe India Uranium Nitricum Trituration Tablet 4X,bottle of 20 gm Trituration Tablet,4.8,9,121.75
SBL Syzygium Jambolanum Trituration Tablet 1X,bottle of 25 gm Trituration Tablet,4.5,11,136.23
"Baidyanath Basant Kusumakar Ras (S.C.M.Yu) with Gold, Silver & Pearl Maintains Blood Glucose Level",bottle of 25 tablets,4.0,210,1040.0
SBL Ceanothus Americanus Mother Tincture Q,bottle of 30 ml Mother Tincture,4.7,7,296.0
Dr. Reckeweg Bio-Combination 7 (BC 7) Tablet,bottle of 20 gm Biocombination Tablet,4.9,13,165.1
Bhargava Diaboral Tablet,box of 60 tablets,4.0,5,147.5
Unjha Makardhwaj Vati (Gold Coated),box of 30 tablets,4.5,13,751.0
ADEL Syzygium Jambolanum Mother Tincture Q,bottle of 20 ml Mother Tincture,0.0,0,246.0
Himalaya Koflet-SF Linctus,bottle of 100 ml Linctus,4.5,55,80.0
SBL Ammi Visnaga Mother Tincture Q,bottle of 30 ml Mother Tincture,0.0,0,170.0
Wheezal WL11 Diabetes Drop,bottle of 30 ml Drop,4.8,8,158.9
Dr. Reckeweg Gymnema Syl Mother Tincture Q,bottle of 20 ml Mother Tincture,0.0,0,228.05
Dr Willmar Schwabe India Pancreatinum Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,4.9,9,122.0
Allen A08 Diabetes Drop,bottle of 30 ml Drop,0.0,0,152.0
Meghdoot Madhu Shoonya Tablet,bottle of 50 tablets,4.0,31,192.85
Alma Sugar Free Tablet Low Calorie Sweetener,bottle of 650 tablets,4.3,18,549.0
Planet Ayurveda Phyllanthus Niruri Capsule,bottle of 60 capsules,0.0,0,1215.0
Dr. Reckeweg Ammi Visn Mother Tincture Q,bottle of 20 ml Mother Tincture,4.8,6,232.05
Bakson B20 Sugar Drop,bottle of 30 ml Drop,4.7,6,155.8
SBL Insulinum Dilution 30 CH,bottle of 30 ml Dilution,4.8,6,90.0
Swadeshi Sugar Nashak Vati,bottle of 60 tablets,3.6,42,167.91
SBL Diaboherb Plus Oral Liquid Strawberry,bottle of 180 ml Liquid,0.0,0,102.15
1mg Fenugreek Oil Gluten Free for Blood Sugar Management 500mg Capsule,box of 60 capsules,4.4,8,448.0
Dr Willmar Schwabe India Ammi Visnaga Mother Tincture Q,bottle of 30 ml Mother Tincture,0.0,0,340.0
Dr Willmar Schwabe India Cephalandra Indica Mother Tincture Q,bottle of 30 ml Mother Tincture,5.0,7,97.0
Dr. Reckeweg Cephalandra Mother Tincture Q,bottle of 20 ml Mother Tincture,0.0,0,228.05
Dr Willmar Schwabe India Alfalfa Tonic Homeopathic Medicine Sugar Free,bottle of 100 ml Tonic,0.0,0,147.0
Dhootapapeshwar Mahalaxmivilas Rasa Premium Quality Suvarnakalpa,packet of 30 tablets,4.8,13,1172.0
Basic Ayurveda Lauki Juice with Tulsi & Pudina,bottle of 1000 ml Juice,4.2,61,214.0
So Sweet Stevia Liquid Drop 100% Natural Sweetener Sugarfree,bottle of 20 ml Liquid,3.5,52,119.6
Solumiks Zpter Tablet,strip of 30 tablets,0.0,0,155.0
SBL Insulinum Dilution 200 CH,bottle of 30 ml Dilution,4.8,6,98.1
Dr. Reckeweg Insulinum Trituration Tablet 10X,bottle of 20 gm Trituration Tablet,0.0,0,216.0
So Sweet Stevia Powder Sugar free Zero Calorie Sweetener,jar of 200 gm Powder,4.1,45,301.0
Dhootapapeshwar Mahayogaraj Guggul,bottle of 1000 tablets,4.8,34,5033.0
Dr Willmar Schwabe India Abroma Augusta Mother Tincture Q,bottle of 30 ml Mother Tincture,0.0,0,97.0
Meghdoot Mulethi Powder,bottle of 100 gm Powder,3.9,66,107.8
Dr. Reckeweg Urea Pura Dilution 6 CH,bottle of 11 ml Dilution,3.8,6,125.0
Dhootapapeshwar Laxmivilas (Naradeeya) Raskalp,bottle of 1000 tablets,4.4,25,3142.0
Dr Willmar Schwabe India Syzygium Jambolanum Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,90.0
SBL Urea Dilution 6 CH,bottle of 30 ml Dilution,0.0,0,90.0
Bjain Arsenicum Bromatum Dilution 6 CH,bottle of 30 ml Dilution,3.8,5,87.0
Dr. Reckeweg Urea Pura Dilution 30 CH,bottle of 11 ml Dilution,3.8,6,125.0
Wheezal Diabonol Drop,bottle of 30 ml Drop,0.0,0,121.0
Tansukh Madhumeh Mantra Capsule,bottle of 60 capsules,4.2,6,269.0
Hapdco Sugarin Drop,bottle of 30 ml Drop,0.0,0,115.0
Dhootapapeshwar Yogendra Rasa Premium Quality Suvarnakalpa,packet of 30 tablets,3.3,8,5134.0
Dr Willmar Schwabe India Pancreatinum Trituration Tablet 6X,bottle of 20 gm Trituration Tablet,4.9,9,120.75
Dr. Reckeweg Insulin Dilution 30 CH,bottle of 11 ml Dilution,0.0,0,125.0
Hapdco Laxosoft SF Powder,jar of 100 gm Powder,3.5,20,127.0
SBL Syzygium Jambolanum Dilution 200 CH,bottle of 30 ml Dilution,0.0,0,97.0
Dr Willmar Schwabe India Alfalfa General Health Tonic,bottle of 100 ml Tonic,0.0,0,108.0
ADEL Pancreatinum Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,0.0,0,257.0
Haslab Drox 07 Diabet Drop,bottle of 30 ml Drop,0.0,0,146.0
Fibocare Powder,box of 100 gm Powder,0.0,0,142.0
Dr Willmar Schwabe India Insulinum Dilution 30 CH,bottle of 30 ml Dilution,4.8,5,88.0
Dr. Reckeweg Uranium Nitricum 4x Mother Tincture Q,bottle of 20 ml Mother Tincture,0.0,0,230.57
Axiom Bone Power Capsule,box of 60 capsules,3.8,12,288.0
Zindagi Stevia Sachet (1gm Each),packet of 100 Sachets,3.8,6,275.0
SBL Syzygium Jambolanum Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,88.0
REPL Dr. Advice No.87 Polyuria Drop,bottle of 30 ml Drop,0.0,0,163.0
Medisynth Diabekoll Non-Sugar Syrup,bottle of 125 ml Syrup,0.0,0,113.0
New Life Diabesin N Sugar Free Syrup,bottle of 100 ml Syrup,0.0,0,90.0
Dr. Reckeweg Uranium Nitricum Dilution 30 CH,bottle of 11 ml Dilution,0.0,0,105.0
Bjain Abroma Augusta Mother Tincture Homeopathic Medicine Q,bottle of 100 ml Mother Tincture,0.0,0,177.0
Dr. Johns J-40 Blood Sugar Drop,bottle of 30 ml Drop,0.0,0,127.0
Dhootapapeshwar Heeraka Bhasma,bottle of 1 gm Powder,4.1,16,7261.0
Meghdoot Madhu Shoonya Powder,box of 200 gm Powder,4.3,68,161.0
SBL Urea Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,90.0
Dhootapapeshwar Bruhat Kastoori Bhairav Premium Quality Suvarnakalpa,packet of 10 tablets,0.0,0,992.0
Alma Stevia Tablet Natural Sweetener,bottle of 175 tablets,3.3,7,249.0
Dr. Reckeweg Diabetic Care Combo Pack of R40 Diabetes Drop 22ml & Syzygium Jamb Mother Tincture Q 20ml,combo pack of 2 bottles,4.7,108,471.55
Dhootapapeshwar Tapyadi Loha,bottle of 5 gm Powder,3.6,5,479.0
Axiom Goumutra Ark,bottle of 500 ml Liquid,3.9,46,77.0
ADEL Acid Phosphoric Dilution 30 CH,bottle of 10 ml Dilution,0.0,0,128.0
St. George’s Diabeto-Nil Drop,bottle of 30 ml Drop,0.0,0,145.5
SBL Insulinum Dilution 1000 CH,bottle of 30 ml Dilution,4.8,6,129.0
Multani Diabetex Strong Capsule,strip of 30 capsules,0.0,0,89.0
Kairali Diaspa Capsule,box of 60 capsules,0.0,0,213.12
Birla Ayurveda Nameha Tablet,bottle of 60 tablets,0.0,0,314.0
Bioforce Blooume 11 Diabo X Drop,bottle of 30 ml Drop,0.0,0,143.0
Bjain Syzygium Jambolanum Dilution 1000 CH,bottle of 100 ml Dilution,0.0,0,237.0
Ayusya Nector Plus Capsule,bottle of 60 gm Capsule,0.0,0,826.0
SBL Ceanothus Americanus Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,78.0
Herbal Hills Gurmar Powder Pack of 2,bottle of 100 gm Powder,0.0,0,235.0
ADEL Vincetoxicum Mother Tincture Q,bottle of 20 ml Mother Tincture,0.0,0,292.0
SBL Gymnema Sylvestre Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,82.0
SBL Phaseolus Nanus Dilution 200 CH,bottle of 30 ml Dilution,0.0,0,97.0
Bjain Uranium Nitricum Dilution 200 CH,bottle of 100 ml Dilution,0.0,0,177.0
Bjain Allium Sativum Dilution 12 CH,bottle of 10 ml Dilution,0.0,0,40.0
Dr Willmar Schwabe India Acidum Lacticum Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,82.0
SBL Phaseolus Vulgaris Mother Tincture Q,bottle of 30 ml Mother Tincture,0.0,0,97.0
Dhootapapeshwar Swarnmakshik Bhasma,bottle of 10 gm Powder,0.0,0,128.0
Basic Ayurveda Aloe Amla 50-Fifty Mix Juice,bottle of 1000 ml Juice,3.9,33,283.0
Dr. Reckeweg Acid Aceticum Dilution 30 CH,bottle of 11 ml Dilution,0.0,0,125.0
Herb Essential Jamun (Syzygium Cumini) Powder,bottle of 1 kg Powder,0.0,0,650.0
Dr Willmar Schwabe India Ceanothus Americanus Dilution 1000 CH,bottle of 30 ml Dilution,0.0,0,112.0
Bjain Arsenicum Bromatum Dilution 200 CH,bottle of 100 ml Dilution,3.8,5,177.0
St. George’s Diabeto-Nil Tablet,bottle of 30 gm Tablet,0.0,0,135.0
Swakalyan Madhumeh Niyantrak Capsule for Diabetes,bottle of 60 capsules,0.0,0,584.0
Bjain Ammonium Aceticum Dilution 12 CH,bottle of 10 ml Dilution,0.0,0,45.0
Dr. Reckeweg Uranium Nitricum Dilution 1000 CH,bottle of 11 ml Dilution,0.0,0,180.0
Bjain Iodium Dilution 6X,bottle of 30 ml Dilution,0.0,0,115.0
Dr Willmar Schwabe India Acidum Lacticum Dilution 200 CH,bottle of 30 ml Dilution,0.0,0,103.0
Pragna Stevia Powder,packet of 90 gm Powder,2.4,9,97.0
Jain Amla (Indian Gooseberry) Powder,box of 500 gm Powder,4.1,14,368.0
Zemaica Healthcare Sugar Control Plus Capsules Diabetes Care,bottle of 30 capsules,0.0,0,844.0
Dr. Reckeweg Insulin Dilution 6 CH,bottle of 11 ml Dilution,0.0,0,125.0
Dr Willmar Schwabe India Uranium Nitricum Dilution 200 CH,bottle of 30 ml Dilution,0.0,0,99.0
Dr Willmar Schwabe India Uranium Nitricum Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,86.0
Swadeshi Diabetes Care Pack,box of 1 Kit,0.0,0,569.0
SBL Acidum Lacticum Mother Tincture Q,bottle of 30 ml Mother Tincture,0.0,0,97.0
Bjain Iodium Dilution 10M CH,bottle of 10 ml Dilution,0.0,0,143.0
Bjain Ferrum Iodatum Dilution 200 CH,bottle of 10 ml Dilution,0.0,0,44.0
SBL Syzygium Jambolanum Dilution 6 CH,bottle of 30 ml Dilution,0.0,0,90.0
Basic Ayurveda Diabe Gold Capsule,bottle of 40 capsules,0.0,0,400.0
Bjain Ferrum Iodatum Dilution 12 CH,bottle of 10 ml Dilution,0.0,0,41.0
Bjain Ferrum Iodatum Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,87.0
Bjain Iodium Dilution 3X,bottle of 30 ml Dilution,0.0,0,115.0
Wheezal Sachrol Tablet,bottle of 25 gm Tablet,0.0,0,161.0
Healwell Diboheal Drop,bottle of 30 ml Drop,0.0,0,143.0
SBL Gymnema Sylvestre Dilution 3 CH,bottle of 30 ml Dilution,0.0,0,90.0
Herbal Hills Vijaysar Powder,packet of 1 kg Powder,4.2,5,350.0
Bjain Cephalandra Indica Dilution 3X,bottle of 100 ml Dilution,0.0,0,207.0
Bjain Ammonium Aceticum Dilution 30 CH,bottle of 10 ml Dilution,0.0,0,45.0
Doliosis D30 Diabeties Drop,bottle of 30 ml Drop,0.0,0,167.0
Herbal Hills Haritaki Powder,packet of 1 kg Powder,3.3,9,317.0
Bjain Syzygium Jambolanum Dilution 200 CH,bottle of 30 ml Dilution,0.0,0,102.0
Bjain Syzygium Jambolanum Dilution 6X,bottle of 100 ml Dilution,0.0,0,205.0
Zindagi Combo Pack of Stevia Dry Leaves (35gm) and Stevia Powder (50gm),combo pack of 2 Packs,0.0,0,236.0
Bjain Ceanothus Americanus Dilution 200 CH,bottle of 100 ml Dilution,0.0,0,175.0
Bjain Acidum Sulphuricum Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,87.0
Dr Willmar Schwabe India Gymnema Sylvestre Dilution 6 CH,bottle of 30 ml Dilution,0.0,0,86.0
Deve Herbes Pure Fenugreek (Methi) Carrier Oil,bottle of 30 ml Oil,4.0,6,549.0
Bjain Allium Sativum Dilution 30 CH,bottle of 100 ml Dilution,0.0,0,167.0
ADEL Acid Carbolic Dilution 30 CH,bottle of 10 ml Dilution,0.0,0,119.0
Bjain Abroma Augusta Dilution 6X,bottle of 30 ml Dilution,0.0,0,115.0
Dr. Reckeweg Insulin Dilution CM CH,bottle of 11 ml Dilution,0.0,0,248.0
Dr Willmar Schwabe India Ceanothus Americanus Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,88.0
Bjain Iodium Dilution 1000 CH,bottle of 30 ml Dilution,0.0,0,114.0
Dr Willmar Schwabe India Uranium Nitricum Dilution 10M CH,bottle of 10 ml Dilution,0.0,0,185.0
Bjain Phylanthus Nirurs Dilution 30 CH,bottle of 10 ml Dilution,0.0,0,45.0
Bjain Syzygium Jambolanum Dilution 6 CH,bottle of 100 ml Dilution,0.0,0,167.0
Haslab Bico 7 Biochemic Compound Tablet,bottle of 20 gm Tablet,0.0,0,70.0
Bjain Syzygium Jambolanum Dilution 12 CH,bottle of 100 ml Dilution,0.0,0,167.0
SBL Acidum Carbolicum Mother Tincture Q,bottle of 30 ml Mother Tincture,0.0,0,117.0
Pragna Bilva Fruit Powder,packet of 1 kg Powder,3.2,14,495.0
Dr Willmar Schwabe India Gymnema Sylvestre Dilution 200 CH,bottle of 30 ml Dilution,0.0,0,85.0
Bjain Kalium Aceticum Dilution 6 CH,bottle of 10 ml Dilution,0.0,0,45.0
Bjain Abroma Augusta Dilution 30 CH,bottle of 100 ml Dilution,0.0,0,167.0
Dr. Reckeweg Acid Aceticum Dilution 200 CH,bottle of 11 ml Dilution,0.0,0,145.0
Bjain Iodium Dilution 30 CH,bottle of 10 ml Dilution,0.0,0,42.75
SBL Urea Dilution 1000 CH,bottle of 30 ml Dilution,0.0,0,128.0
SBL Uranium Nitricum 0/28 LM,bottle of 20 gm Globules,0.0,0,157.0
SBL Syzygium Jambolanum Dilution 12 CH,bottle of 30 ml Dilution,0.0,0,90.0
Dr Willmar Schwabe India Uranium Nitricum Dilution 6 CH,bottle of 30 ml Dilution,0.0,0,86.0
SBL Acidum Aceticum Mother Tincture Q,bottle of 30 ml Mother Tincture,0.0,0,97.0
Bjain Cephalandra Indica Dilution 30 CH,bottle of 10 ml Dilution,0.0,0,45.0
SBL Cephalandra Indica Dilution 6 CH,bottle of 30 ml Dilution,0.0,0,90.0
Dr. Reckeweg Insulin Dilution 1000 CH,bottle of 11 ml Dilution,0.0,0,175.0
Ayusya Ganoderma Extract Capsule,bottle of 60 gm Capsule,0.0,0,1068.0
Bjain Iodium Dilution 200 CH,bottle of 10 ml Dilution,0.0,0,47.5
Bjain Uranium Nitricum Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,87.0
Dr. Reckeweg Acid Aceticum Dilution 1000 CH,bottle of 11 ml Dilution,0.0,0,180.0
Multani Sugralo DM Tablet,bottle of 60 tablets,0.0,0,300.0
Dr Willmar Schwabe India Ceanothus Americanus Dilution 200 CH,bottle of 30 ml Dilution,0.0,0,100.0
Bjain Allium Sativum Dilution 6X,bottle of 30 ml Dilution,0.0,0,115.0
Naturmed's Guduchi Powder,jar of 200 gm Powder,0.0,0,145.5
Naturz Ayurveda Jambu 425mg Capsule,bottle of 120 capsules,0.0,0,359.0
Bjain Cephalandra Indica Dilution 6X,bottle of 100 ml Dilution,0.0,0,205.0
Bjain Kalium Aceticum Dilution 30 CH,bottle of 30 ml Dilution,0.0,0,87.0
Bjain Ammonium Aceticum Dilution 6 CH,bottle of 10 ml Dilution,0.0,0,45.0
Indian Remedies Purified Shilajit Capsule,bottle of 100 capsules,3.3,6,537.0
Bjain Syzygium Jambolanum Dilution 3X,bottle of 30 ml Dilution,0.0,0,115.0
Jeevan Ras Dhania Panchang Juice,bottle of 500 ml Juice,0.0,0,145.0
Bjain Iodium Dilution 6 CH,bottle of 10 ml Dilution,0.0,0,45.0
Jeevan Ras Karela Juice,bottle of 500 ml Juice,0.0,0,186.0
Bjain Acidum Aceticum Dilution 200 CH,bottle of 100 ml Dilution,0.0,0,177.0
Bjain Ceanothus Americanus Globules 30 CH,bottle of 6 gm Globules,0.0,0,85.0
Bjain Cephalandra Indica Dilution 200 CH,bottle of 100 ml Dilution,0.0,0,173.0
Bjain Acidum Aceticum Dilution 30 CH,bottle of 100 ml Dilution,0.0,0,167.0
Bjain Cephalandra Indica Dilution 1000 CH,bottle of 10 ml Dilution,0.0,0,63.0
Alma Combo Pack of Sugarfree 650 Tablet and Stevia 175 Tablet Low Calorie Sweetener,combo pack of 2 bottles,0.0,0,789.0
Dr Willmar Schwabe India Acidum Lacticum Dilution 6 CH,bottle of 30 ml Dilution,0.0,0,86.0
Bjain Iodium Dilution 12 CH,bottle of 10 ml Dilution,0.0,0,45.0
ADEL Urea Pura Dilution 200 CH,bottle of 10 ml Dilution,0.0,0,150.0
Ayurvedic Life Gurmar Powder,packet of 1 kg Powder,0.0,0,587.0
Dr Willmar Schwabe India Uranium Nitricum Dilution 1000 CH,bottle of 30 ml Dilution,0.0,0,113.0
SBL Ceanothus Americanus Dilution 6 CH,bottle of 30 ml Dilution,0.0,0,90.0
Planet Ayurveda Fenugreek Capsule,bottle of 60 capsules,0.0,0,1215.0
Dr Willmar Schwabe India Gymnema Sylvestre Dilution 1000 CH,bottle of 30 ml Dilution,0.0,0,113.0
Bjain Syzygium Jambolanum Globules 6 CH,bottle of 6 gm Globules,0.0,0,76.0
Bjain Acidum Lacticum Dilution 1000 CH,bottle of 30 ml Dilution,0.0,0,114.0
Naturz Ayurveda Vijaysar Powder,packet of 1 kg Powder,0.0,0,537.0
ADEL Urea Pura Dilution 1000 CH,bottle of 10 ml Dilution,0.0,0,195.0
Bjain Arsenicum Bromatum Dilution 12 CH,bottle of 100 ml Dilution,3.8,5,167.0
Sugarlif Sachet,packet of 1 Sachet,0.0,0,99.0
Bjain Cephalandra Indica Globules 6X,bottle of 6 gm Globules,0.0,0,85.0
Bjain Arsenicum Bromatum Globules 6 CH,bottle of 6 gm Globules,0.0,0,80.75
Aadar Jeevani Powder (100gm Each) Bottle,box of 1 Bottle,0.0,0,130.0
SBL Ceanothus Americanus Dilution 1000 CH,bottle of 30 ml Dilution,0.0,0,129.0
Bjain Phylanthus Nirurs Dilution 12 CH,bottle of 10 ml Dilution,0.0,0,40.0
Ayurvedic Life Jambu Beej Powder,packet of 1 kg Powder,0.0,0,710.0
SBL Vincetoxicum Officinalis Dilution 200 CH,bottle of 30 ml Dilution,0.0,0,100.0
Bjain Allium Sativum Dilution 3X,bottle of 30 ml Dilution,0.0,0,115.0
